Id,y
50100,1.796066065269361
50101,2.184510631885953
50102,1.78445157250311
50103,2.6209507526613214
50104,1.8967887005068902
50105,1.747504311544669
50106,2.2365004378391005
50107,2.02244697540892
50108,1.5824172622436736
50109,1.7674461195522801
50110,1.2794374822948744
50111,1.7293531518882912
50112,1.636175706698734
50113,1.719861418799937
50114,1.9375641473671938
50115,2.076759530659414
50116,1.4958448084664115
50117,1.9126451498967016
50118,2.029259584049521
50119,1.670516541754695
50120,2.0041424443108546
50121,2.0500612139693883
50122,1.0012851152748143
50123,2.016564104440084
50124,1.38786220077664
50125,2.184554123952136
50126,1.5248254181539092
50127,2.058130126407697
50128,1.9116747039975732
50129,2.0730645614958965
50130,1.9679628323994518
50131,1.9435823444575373
50132,1.6485119403121857
50133,1.6380322116451658
50134,1.6343892463407528
50135,1.9989465274569038
50136,1.8819642431043082
50137,1.860587179442672
50138,1.7567490470490519
50139,1.6662890928677068
50140,1.729447959117867
50141,2.5653167136177903
50142,1.9811476390817861
50143,1.669841803742575
50144,1.5771462595105905
50145,2.0541541556870713
50146,1.8935907968427226
50147,2.248741249615913
50148,1.8926057772120608
50149,1.9599799847224986
50150,1.614790963600829
50151,1.7902914759947104
50152,1.5361936688873288
50153,2.132786020416553
50154,1.615748125477869
50155,2.5334935349246064
50156,2.3243493205859385
50157,1.3517004227777925
50158,1.3142438401827548
50159,1.2427129853904617
50160,1.5830061389832613
50161,2.275863054491295
50162,2.6530698920591766
50163,2.1265257989693622
50164,1.7408003668292789
50165,1.4704037560042607
50166,1.5882591818565892
50167,1.7500186681499006
50168,1.8095240922068567
50169,1.3614517006426414
50170,1.6939748744153316
50171,2.464237585055181
50172,1.5529790458386172
50173,2.1932983303243048
50174,2.0583152614400606
50175,1.4294099388158208
50176,2.4913639846588214
50177,2.447249613276215
50178,2.2120183600827987
50179,2.008998933193719
50180,2.4068814726894017
50181,1.566719256034791
50182,2.0858032737702628
50183,1.4543822868823333
50184,2.4410038768054356
50185,1.5457312964951506
50186,2.2629307979313995
50187,2.2826237718181908
50188,2.338845812911752
